ID,Number,MinAmps,MaxAmps
SR01A-PC-HSTR-01,1,-4.999,4.999
SR01A-PC-HSTR-02,2,-4.999,4.999
SR01A-PC-HSTR-03,3,-4.999,4.999
SR01A-PC-HSTR-04,4,-4.999,4.999
SR01A-PC-HSTR-05,5,-4.999,4.999
SR01A-PC-HSTR-06,6,-4.999,4.999
SR01A-PC-HSTR-07,7,-4.999,4.999
SR02A-PC-HSTR-01,8,-4.999,4.999
SR02A-PC-HSTR-04,9,-4.999,4.999
SR02A-PC-HSTR-05,10,-4.999,4.999
SR02A-PC-HSCOR-01,11,-3.999,3.999
SR02A-PC-HSCOR-02,12,-3.999,3.999
SR02A-PC-HSTR-07,13,-4.999,4.999
SR02A-PC-HSTR-08,14,-4.999,4.999
SR02A-PC-HSTR-10,15,-4.999,4.999
SR03A-PC-HSTR-01,16,-4.999,4.999
SR03A-PC-HSTR-02,17,-4.999,4.999
SR03A-PC-HSTR-03,18,-4.999,4.999
SR03A-PC-HSTR-04,19,-4.999,4.999
SR03A-PC-HSTR-05,20,-4.999,4.999
SR03A-PC-HSTR-06,21,-4.999,4.999
SR03A-PC-HSTR-07,22,-4.999,4.999
SR04A-PC-HSTR-01,23,-4.999,4.999
SR04A-PC-HSTR-02,24,-4.999,4.999
SR04A-PC-HSTR-03,25,-4.999,4.999
SR04A-PC-HSTR-04,26,-4.999,4.999
SR04A-PC-HSTR-05,27,-4.999,4.999
SR04A-PC-HSTR-06,28,-4.999,4.999
SR04A-PC-HSTR-07,29,-4.999,4.999
SR05A-PC-HSTR-01,30,-4.999,4.999
SR05A-PC-HSTR-02,31,-4.999,4.999
SR05A-PC-HSTR-03,32,-4.999,4.999
SR05A-PC-HSTR-04,33,-4.999,4.999
SR05A-PC-HSTR-05,34,-4.999,4.999
SR05A-PC-HSTR-06,35,-4.999,4.999
SR05A-PC-HSTR-07,36,-4.999,4.999
SR06A-PC-HSTR-01,37,-4.999,4.999
SR06A-PC-HSTR-02,38,-4.999,4.999
SR06A-PC-HSTR-03,39,-4.999,4.999
SR06A-PC-HSTR-04,40,-4.999,4.999
SR06A-PC-HSTR-05,41,-4.999,4.999
SR06A-PC-HSTR-06,42,-4.999,4.999
SR06A-PC-HSTR-07,43,-4.999,4.999
SR07A-PC-HSTR-01,44,-4.999,4.999
SR07A-PC-HSTR-02,45,-4.999,4.999
SR07A-PC-HSTR-03,46,-4.999,4.999
SR07A-PC-HSTR-04,47,-4.999,4.999
SR07A-PC-HSTR-05,48,-4.999,4.999
SR07A-PC-HSTR-06,49,-4.999,4.999
SR07A-PC-HSTR-07,50,-4.999,4.999
SR08A-PC-HSTR-01,51,-4.999,4.999
SR08A-PC-HSTR-02,52,-4.999,4.999
SR08A-PC-HSTR-03,53,-4.999,4.999
SR08A-PC-HSTR-04,54,-4.999,4.999
SR08A-PC-HSTR-05,55,-4.999,4.999
SR08A-PC-HSTR-06,56,-4.999,4.999
SR08A-PC-HSTR-07,57,-4.999,4.999
SR09S-PC-HSTR-01,58,-4.999,4.999
SR09S-PC-HSTR-02,59,-18.499,18.499
SR09A-PC-HSTR-01,60,-4.999,4.999
SR09A-PC-HSTR-02,61,-4.999,4.999
SR09A-PC-HSTR-03,62,-4.999,4.999
SR09A-PC-HSTR-04,63,-4.999,4.999
SR09A-PC-HSTR-05,64,-4.999,4.999
SR09A-PC-HSTR-06,65,-4.999,4.999
SR09A-PC-HSTR-07,66,-4.999,4.999
SR10A-PC-HSTR-01,67,-4.999,4.999
SR10A-PC-HSTR-02,68,-4.999,4.999
SR10A-PC-HSTR-03,69,-4.999,4.999
SR10A-PC-HSTR-04,70,-4.999,4.999
SR10A-PC-HSTR-05,71,-4.999,4.999
SR10A-PC-HSTR-06,72,-4.999,4.999
SR10A-PC-HSTR-07,73,-4.999,4.999
SR11A-PC-HSTR-01,74,-4.999,4.999
SR11A-PC-HSTR-02,75,-4.999,4.999
SR11A-PC-HSTR-03,76,-4.999,4.999
SR11A-PC-HSTR-04,77,-4.999,4.999
SR11A-PC-HSTR-06,78,-4.999,4.999
SR11A-PC-HSTR-07,79,-4.999,4.999
SR12A-PC-HSTR-01,80,-4.999,4.999
SR12A-PC-HSTR-02,81,-4.999,4.999
SR12A-PC-HSTR-03,82,-4.999,4.999
SR12A-PC-HSTR-04,83,-4.999,4.999
SR12A-PC-HSTR-05,84,-4.999,4.999
SR12A-PC-HSTR-06,85,-4.999,4.999
SR12A-PC-HSTR-07,86,-4.999,4.999
SR13S-PC-HSTR-01,87,-4.999,4.999
SR13S-PC-HSTR-02,88,-18.499,18.499
SR13A-PC-HSTR-01,89,-4.999,4.999
SR13A-PC-HSTR-02,90,-4.999,4.999
SR13A-PC-HSTR-03,91,-4.999,4.999
SR13A-PC-HSTR-04,92,-4.999,4.999
SR13A-PC-HSTR-05,93,-4.999,4.999
SR13A-PC-HSTR-06,94,-4.999,4.999
SR13A-PC-HSTR-07,95,-4.999,4.999
SR14A-PC-HSTR-01,96,-4.999,4.999
SR14A-PC-HSTR-02,97,-4.999,4.999
SR14A-PC-HSTR-03,98,-4.999,4.999
SR14A-PC-HSTR-04,99,-4.999,4.999
SR14A-PC-HSTR-05,100,-4.999,4.999
SR14A-PC-HSTR-06,101,-4.999,4.999
SR14A-PC-HSTR-07,102,-4.999,4.999
SR15A-PC-HSTR-01,103,-4.999,4.999
SR15A-PC-HSTR-02,104,-4.999,4.999
SR15A-PC-HSTR-03,105,-4.999,4.999
SR15A-PC-HSTR-04,106,-4.999,4.999
SR15A-PC-HSTR-05,107,-4.999,4.999
SR15A-PC-HSTR-06,108,-4.999,4.999
SR15A-PC-HSTR-07,109,-4.999,4.999
SR16A-PC-HSTR-01,110,-4.999,4.999
SR16A-PC-HSTR-02,111,-4.999,4.999
SR16A-PC-HSTR-03,112,-4.999,4.999
SR16A-PC-HSTR-04,113,-4.999,4.999
SR16A-PC-HSTR-05,114,-4.999,4.999
SR16A-PC-HSTR-06,115,-4.999,4.999
SR16A-PC-HSTR-07,116,-4.999,4.999
SR17A-PC-HSTR-01,117,-4.999,4.999
SR17A-PC-HSTR-02,118,-4.999,4.999
SR17A-PC-HSTR-03,119,-4.999,4.999
SR17A-PC-HSTR-04,120,-4.999,4.999
SR17A-PC-HSTR-05,121,-4.999,4.999
SR17A-PC-HSTR-06,122,-4.999,4.999
SR17A-PC-HSTR-07,123,-4.999,4.999
SR18A-PC-HSTR-01,124,-4.999,4.999
SR18A-PC-HSTR-02,125,-4.999,4.999
SR18A-PC-HSTR-03,126,-4.999,4.999
SR18A-PC-HSTR-04,127,-4.999,4.999
SR18A-PC-HSTR-05,128,-4.999,4.999
SR18A-PC-HSTR-06,129,-4.999,4.999
SR18A-PC-HSTR-07,130,-4.999,4.999
SR19A-PC-HSTR-01,131,-4.999,4.999
SR19A-PC-HSTR-02,132,-4.999,4.999
SR19A-PC-HSTR-03,133,-4.999,4.999
SR19A-PC-HSTR-04,134,-4.999,4.999
SR19A-PC-HSTR-05,135,-4.999,4.999
SR19A-PC-HSTR-06,136,-4.999,4.999
SR19A-PC-HSTR-07,137,-4.999,4.999
SR20A-PC-HSTR-01,138,-4.999,4.999
SR20A-PC-HSTR-02,139,-4.999,4.999
SR20A-PC-HSTR-03,140,-4.999,4.999
SR20A-PC-HSTR-04,141,-4.999,4.999
SR20A-PC-HSTR-05,142,-4.999,4.999
SR20A-PC-HSTR-06,143,-4.999,4.999
SR20A-PC-HSTR-07,144,-4.999,4.999
SR21A-PC-HSTR-01,145,-4.999,4.999
SR21A-PC-HSTR-02,146,-4.999,4.999
SR21A-PC-HSTR-03,147,-4.999,4.999
SR21A-PC-HSTR-04,148,-4.999,4.999
SR21A-PC-HSTR-05,149,-4.999,4.999
SR21A-PC-HSTR-06,150,-4.999,4.999
SR21A-PC-HSTR-07,151,-4.999,4.999
SR22A-PC-HSTR-01,152,-4.999,4.999
SR22A-PC-HSTR-02,153,-4.999,4.999
SR22A-PC-HSTR-03,154,-4.999,4.999
SR22A-PC-HSTR-04,155,-4.999,4.999
SR22A-PC-HSTR-05,156,-4.999,4.999
SR22A-PC-HSTR-06,157,-4.999,4.999
SR22A-PC-HSTR-07,158,-4.999,4.999
SR23A-PC-HSTR-01,159,-4.999,4.999
SR23A-PC-HSTR-02,160,-4.999,4.999
SR23A-PC-HSTR-03,161,-4.999,4.999
SR23A-PC-HSTR-04,162,-4.999,4.999
SR23A-PC-HSTR-05,163,-4.999,4.999
SR23A-PC-HSTR-06,164,-4.999,4.999
SR23A-PC-HSTR-07,165,-4.999,4.999
SR24A-PC-HSTR-01,166,-4.999,4.999
SR24A-PC-HSTR-02,167,-4.999,4.999
SR24A-PC-HSTR-03,168,-4.999,4.999
SR24A-PC-HSTR-04,169,-4.999,4.999
SR24A-PC-HSTR-05,170,-4.999,4.999
SR24A-PC-HSTR-06,171,-4.999,4.999
SR24A-PC-HSTR-07,172,-4.999,4.999
SR01A-PC-VSTR-01,1,-4.999,4.999
SR01A-PC-VSTR-02,2,-4.999,4.999
SR01A-PC-VSTR-03,3,-4.999,4.999
SR01A-PC-VSTR-04,4,-4.999,4.999
SR01A-PC-VSTR-05,5,-4.999,4.999
SR01A-PC-VSTR-06,6,-4.999,4.999
SR01A-PC-VSTR-07,7,-4.999,4.999
SR02A-PC-VSTR-01,8,-4.999,4.999
SR02A-PC-VSTR-04,9,-4.999,4.999
SR02A-PC-VSTR-05,10,-4.999,4.999
SR02A-PC-VSCOR-01,11,-4.999,4.999
SR02A-PC-VSCOR-02,12,-3.999,3.999
SR02A-PC-VSTR-07,13,-4.999,4.999
SR02A-PC-VSTR-08,14,-4.999,4.999
SR02A-PC-VSTR-10,15,-4.999,4.999
SR03A-PC-VSTR-01,16,-4.999,4.999
SR03A-PC-VSTR-02,17,-4.999,4.999
SR03A-PC-VSTR-03,18,-4.999,4.999
SR03A-PC-VSTR-04,19,-4.999,4.999
SR03A-PC-VSTR-05,20,-4.999,4.999
SR03A-PC-VSTR-06,21,-4.999,4.999
SR03A-PC-VSTR-07,22,-4.999,4.999
SR04A-PC-VSTR-01,23,-4.999,4.999
SR04A-PC-VSTR-02,24,-4.999,4.999
SR04A-PC-VSTR-03,25,-4.999,4.999
SR04A-PC-VSTR-04,26,-4.999,4.999
SR04A-PC-VSTR-05,27,-4.999,4.999
SR04A-PC-VSTR-06,28,-4.999,4.999
SR04A-PC-VSTR-07,29,-4.999,4.999
SR05A-PC-VSTR-01,30,-4.999,4.999
SR05A-PC-VSTR-02,31,-4.999,4.999
SR05A-PC-VSTR-03,32,-4.999,4.999
SR05A-PC-VSTR-04,33,-4.999,4.999
SR05A-PC-VSTR-05,34,-4.999,4.999
SR05A-PC-VSTR-06,35,-4.999,4.999
SR05A-PC-VSTR-07,36,-4.999,4.999
SR06A-PC-VSTR-01,37,-4.999,4.999
SR06A-PC-VSTR-02,38,-4.999,4.999
SR06A-PC-VSTR-03,39,-4.999,4.999
SR06A-PC-VSTR-04,40,-4.999,4.999
SR06A-PC-VSTR-05,41,-4.999,4.999
SR06A-PC-VSTR-06,42,-4.999,4.999
SR06A-PC-VSTR-07,43,-4.999,4.999
SR07A-PC-VSTR-01,44,-4.999,4.999
SR07A-PC-VSTR-02,45,-4.999,4.999
SR07A-PC-VSTR-03,46,-4.999,4.999
SR07A-PC-VSTR-04,47,-4.999,4.999
SR07A-PC-VSTR-05,48,-4.999,4.999
SR07A-PC-VSTR-06,49,-4.999,4.999
SR07A-PC-VSTR-07,50,-4.999,4.999
SR08A-PC-VSTR-01,51,-4.999,4.999
SR08A-PC-VSTR-02,52,-4.999,4.999
SR08A-PC-VSTR-03,53,-4.999,4.999
SR08A-PC-VSTR-04,54,-4.999,4.999
SR08A-PC-VSTR-05,55,-4.999,4.999
SR08A-PC-VSTR-06,56,-4.999,4.999
SR08A-PC-VSTR-07,57,-4.999,4.999
SR09S-PC-VSTR-01,58,-4.999,4.999
SR09S-PC-VSTR-02,59,-18.499,18.499
SR09A-PC-VSTR-01,60,-4.999,4.999
SR09A-PC-VSTR-02,61,-4.999,4.999
SR09A-PC-VSTR-03,62,-4.999,4.999
SR09A-PC-VSTR-04,63,-4.999,4.999
SR09A-PC-VSTR-05,64,-4.999,4.999
SR09A-PC-VSTR-06,65,-4.999,4.999
SR09A-PC-VSTR-07,66,-4.999,4.999
SR10A-PC-VSTR-01,67,-4.999,4.999
SR10A-PC-VSTR-02,68,-4.999,4.999
SR10A-PC-VSTR-03,69,-4.999,4.999
SR10A-PC-VSTR-04,70,-4.999,4.999
SR10A-PC-VSTR-05,71,-4.999,4.999
SR10A-PC-VSTR-06,72,-4.999,4.999
SR10A-PC-VSTR-07,73,-4.999,4.999
SR11A-PC-VSTR-01,74,-4.999,4.999
SR11A-PC-VSTR-02,75,-4.999,4.999
SR11A-PC-VSTR-03,76,-4.999,4.999
SR11A-PC-VSTR-04,77,-4.999,4.999
SR11A-PC-VSTR-06,78,-4.999,4.999
SR11A-PC-VSTR-07,79,-4.999,4.999
SR12A-PC-VSTR-01,80,-4.999,4.999
SR12A-PC-VSTR-02,81,-4.999,4.999
SR12A-PC-VSTR-03,82,-4.999,4.999
SR12A-PC-VSTR-04,83,-4.999,4.999
SR12A-PC-VSTR-05,84,-4.999,4.999
SR12A-PC-VSTR-06,85,-4.999,4.999
SR12A-PC-VSTR-07,86,-4.999,4.999
SR13S-PC-VSTR-01,87,-4.999,4.999
SR13S-PC-VSTR-02,88,-18.499,18.499
SR13A-PC-VSTR-01,89,-4.999,4.999
SR13A-PC-VSTR-02,90,-4.999,4.999
SR13A-PC-VSTR-03,91,-4.999,4.999
SR13A-PC-VSTR-04,92,-4.999,4.999
SR13A-PC-VSTR-05,93,-4.999,4.999
SR13A-PC-VSTR-06,94,-4.999,4.999
SR13A-PC-VSTR-07,95,-4.999,4.999
SR14A-PC-VSTR-01,96,-4.999,4.999
SR14A-PC-VSTR-02,97,-4.999,4.999
SR14A-PC-VSTR-03,98,-4.999,4.999
SR14A-PC-VSTR-04,99,-4.999,4.999
SR14A-PC-VSTR-05,100,-4.999,4.999
SR14A-PC-VSTR-06,101,-4.999,4.999
SR14A-PC-VSTR-07,102,-4.999,4.999
SR15A-PC-VSTR-01,103,-4.999,4.999
SR15A-PC-VSTR-02,104,-4.999,4.999
SR15A-PC-VSTR-03,105,-4.999,4.999
SR15A-PC-VSTR-04,106,-4.999,4.999
SR15A-PC-VSTR-05,107,-4.999,4.999
SR15A-PC-VSTR-06,108,-4.999,4.999
SR15A-PC-VSTR-07,109,-4.999,4.999
SR16A-PC-VSTR-01,110,-4.999,4.999
SR16A-PC-VSTR-02,111,-4.999,4.999
SR16A-PC-VSTR-03,112,-4.999,4.999
SR16A-PC-VSTR-04,113,-4.999,4.999
SR16A-PC-VSTR-05,114,-4.999,4.999
SR16A-PC-VSTR-06,115,-4.999,4.999
SR16A-PC-VSTR-07,116,-4.999,4.999
SR17A-PC-VSTR-01,117,-4.999,4.999
SR17A-PC-VSTR-02,118,-4.999,4.999
SR17A-PC-VSTR-03,119,-4.999,4.999
SR17A-PC-VSTR-04,120,-4.999,4.999
SR17A-PC-VSTR-05,121,-4.999,4.999
SR17A-PC-VSTR-06,122,-4.999,4.999
SR17A-PC-VSTR-07,123,-4.999,4.999
SR18A-PC-VSTR-01,124,-4.999,4.999
SR18A-PC-VSTR-02,125,-4.999,4.999
SR18A-PC-VSTR-03,126,-4.999,4.999
SR18A-PC-VSTR-04,127,-4.999,4.999
SR18A-PC-VSTR-05,128,-4.999,4.999
SR18A-PC-VSTR-06,129,-4.999,4.999
SR18A-PC-VSTR-07,130,-4.999,4.999
SR19A-PC-VSTR-01,131,-4.999,4.999
SR19A-PC-VSTR-02,132,-4.999,4.999
SR19A-PC-VSTR-03,133,-4.999,4.999
SR19A-PC-VSTR-04,134,-4.999,4.999
SR19A-PC-VSTR-05,135,-4.999,4.999
SR19A-PC-VSTR-06,136,-4.999,4.999
SR19A-PC-VSTR-07,137,-4.999,4.999
SR20A-PC-VSTR-01,138,-4.999,4.999
SR20A-PC-VSTR-02,139,-4.999,4.999
SR20A-PC-VSTR-03,140,-4.999,4.999
SR20A-PC-VSTR-04,141,-4.999,4.999
SR20A-PC-VSTR-05,142,-4.999,4.999
SR20A-PC-VSTR-06,143,-4.999,4.999
SR20A-PC-VSTR-07,144,-4.999,4.999
SR21A-PC-VSTR-01,145,-4.999,4.999
SR21A-PC-VSTR-02,146,-4.999,4.999
SR21A-PC-VSTR-03,147,-4.999,4.999
SR21A-PC-VSTR-04,148,-4.999,4.999
SR21A-PC-VSTR-05,149,-4.999,4.999
SR21A-PC-VSTR-06,150,-4.999,4.999
SR21A-PC-VSTR-07,151,-4.999,4.999
SR22A-PC-VSTR-01,152,-4.999,4.999
SR22A-PC-VSTR-02,153,-4.999,4.999
SR22A-PC-VSTR-03,154,-4.999,4.999
SR22A-PC-VSTR-04,155,-4.999,4.999
SR22A-PC-VSTR-05,156,-4.999,4.999
SR22A-PC-VSTR-06,157,-4.999,4.999
SR22A-PC-VSTR-07,158,-4.999,4.999
SR23A-PC-VSTR-01,159,-4.999,4.999
SR23A-PC-VSTR-02,160,-4.999,4.999
SR23A-PC-VSTR-03,161,-4.999,4.999
SR23A-PC-VSTR-04,162,-4.999,4.999
SR23A-PC-VSTR-05,163,-4.999,4.999
SR23A-PC-VSTR-06,164,-4.999,4.999
SR23A-PC-VSTR-07,165,-4.999,4.999
SR24A-PC-VSTR-01,166,-4.999,4.999
SR24A-PC-VSTR-02,167,-4.999,4.999
SR24A-PC-VSTR-03,168,-4.999,4.999
SR24A-PC-VSTR-04,169,-4.999,4.999
SR24A-PC-VSTR-05,170,-4.999,4.999
SR24A-PC-VSTR-06,171,-4.999,4.999
SR24A-PC-VSTR-07,172,-4.999,4.999
